ID,Name,Position,Team,Image
501,Brandon Raider,QB,Las Vegas Raiders,https://placehold.co/400x400/000000/A5ACAF/png?text=Brandon+Raider
502,Marcus Silver,WR,Las Vegas Raiders,https://placehold.co/400x400/A5ACAF/000000/png?text=Marcus+Silver
503,Jake Bronco,QB,Denver Broncos,https://placehold.co/400x400/FB4F14/002244/png?text=Jake+Bronco
504,Devon Orange,RB,Denver Broncos,https://placehold.co/400x400/002244/FB4F14/png?text=Devon+Orange
505,Tyler Thunder,TE,Denver Broncos,https://placehold.co/400x400/FB4F14/FFFFFF/png?text=Tyler+Thunder
506,Connor Bolt,QB,Los Angeles Chargers,https://placehold.co/400x400/0080C6/FFC20E/png?text=Connor+Bolt
507,Ryan Lightning,WR,Los Angeles Chargers,https://placehold.co/400x400/FFC20E/0080C6/png?text=Ryan+Lightning
508,Eric Chief,QB,Kansas City Chiefs,https://placehold.co/400x400/E31837/FFB81C/png?text=Eric+Chief
509,Dylan Arrow,RB,Kansas City Chiefs,https://placehold.co/400x400/FFB81C/E31837/png?text=Dylan+Arrow
510,Tyler Kingdom,WR,Kansas City Chiefs,https://placehold.co/400x400/E31837/FFFFFF/png?text=Tyler+Kingdom
