ID,Name,Position,Team,Image
1001,Marcus Rocket,QB,Kansas City Chiefs,https://placehold.co/400x400/E31837/FFB81C/png?text=Marcus+Rocket
1002,Brandon Swift,RB,Philadelphia Eagles,https://placehold.co/400x400/004C54/A5ACAF/png?text=Brandon+Swift
1003,Jake Hands,WR,Miami Dolphins,https://placehold.co/400x400/008E97/FC4C02/png?text=Jake+Hands
1004,Devon Catch,TE,San Francisco 49ers,https://placehold.co/400x400/AA0000/B3995D/png?text=Devon+Catch
1005,Tyler Kick,K,Baltimore Ravens,https://placehold.co/400x400/241773/9E7C0C/png?text=Tyler+Kick
1006,Connor Wall,DEF,Pittsburgh Steelers,https://placehold.co/400x400/FFB612/101820/png?text=Connor+Wall
1007,Ryan Air,QB,Dallas Cowboys,https://placehold.co/400x400/041E42/869397/png?text=Ryan+Air
1008,Eric Speed,RB,Detroit Lions,https://placehold.co/400x400/0076B6/B0B7BC/png?text=Eric+Speed
1009,Dylan Target,WR,Minnesota Vikings,https://placehold.co/400x400/4F2683/FFC62F/png?text=Dylan+Target
1010,Tyler Stone,TE,Green Bay Packers,https://placehold.co/400x400/203731/FFB612/png?text=Tyler+Stone
1011,Connor Boot,K,New England Patriots,https://placehold.co/400x400/002244/C60C30/png?text=Connor+Boot
1012,Marcus Shield,DEF,Buffalo Bills,https://placehold.co/400x400/0033A0/C60C30/png?text=Marcus+Shield
