ID,Name,Position,Team,Image
701,Brandon Pack,QB,Green Bay Packers,https://placehold.co/400x400/203731/FFB612/png?text=Brandon+Pack
702,Marcus Green,WR,Green Bay Packers,https://placehold.co/400x400/FFB612/203731/png?text=Marcus+Green
703,Jake Cheese,RB,Green Bay Packers,https://placehold.co/400x400/203731/FFFFFF/png?text=Jake+Cheese
704,Devon Viking,QB,Minnesota Vikings,https://placehold.co/400x400/4F2683/FFC62F/png?text=Devon+Viking
705,Tyler Norse,WR,Minnesota Vikings,https://placehold.co/400x400/FFC62F/4F2683/png?text=Tyler+Norse
706,Connor Bear,QB,Chicago Bears,https://placehold.co/400x400/0B162A/C83803/png?text=Connor+Bear
707,Ryan Monster,RB,Chicago Bears,https://placehold.co/400x400/C83803/0B162A/png?text=Ryan+Monster
708,Eric Lion,QB,Detroit Lions,https://placehold.co/400x400/0076B6/B0B7BC/png?text=Eric+Lion
709,Dylan Roar,WR,Detroit Lions,https://placehold.co/400x400/B0B7BC/0076B6/png?text=Dylan+Roar
710,Tyler Pride,RB,Detroit Lions,https://placehold.co/400x400/0076B6/FFFFFF/png?text=Tyler+Pride
